BookTitle,Work Order Status,,,,,,,,,,,,,,,,,,,,,,,,
"Bundle: Financial & Managerial Accounting, Loose-Leaf Version, 14th + Cengagenowv2, 2 Terms Printed",Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
So Far From God PA,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Krik? Krak!,Hold: Supervisor Needs to Review,,,,,,,,,,,,,,,,,,,,,,,,
Augustown,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Ink,Hold: Supervisor Needs to Review,,,,,,,,,,,,,,,,,,,,,,,,
Abnormal Child Psychology,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
MyLab Statistics with Pearson eText -- Standalone Access Card -- for Business Statistics,Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Macroeconomics,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
A Smarter Way to Learn Python,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Management - MGT 495,Hold: Supervisor Needs to Review,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Finance and Investments,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
HOUSE ON MANGO STREET,Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
Old World Encounters Cross-Cultural Contacts and Exchanges in Pre-Modern Times,Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
Anthropology Why It Matters,Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Statistical Quality Control,01 Prep: Requested files from AccessText,,,,,,,,,,,,,,,,,,,,,,,,
Essentials of Contemporary Management,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Sport Facility  &  Event Management,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
World Architecture: A Cross-Cultural History,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
World Architecture: A Cross-Cultural History,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
"Math in Our World: A Quantitative Reasoning Approach, 2nd - ALEKS 360 (includes eBook)",Completed - 04 Dis: Not a textbook- Access Card (E-Text),,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry,Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
Organic Chemistry,Completed - 00 Order Fullfilled,,,,,,,,,,,,,,,,,,,,,,,,
A Smarter Way to Learn Python,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Business Communication: Rhetoric for Business Professionals,Completed - 04 Dis: Need proof of purchase from student,,,,,,,,,,,,,,,,,,,,,,,,
"Essential Cell Biology with Ebook, Smartwork5, and Animations",Completed - 04 Dis: Complete (Available at Bookshare.org),,,,,,,,,,,,,,,,,,,,,,,,
